galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
UGC06446,1.926279226730066,5,UGC06446_rotmod.dat,0.8732500129285906,0.9942713150155962,0.0026256557567109,17.0,Peak,0.07372077326993409,0.27372077326993427
UGC06614,0.7972201087889419,5,UGC06614_rotmod.dat,3.0,0.2751759464385292,0.0059457269903281,7.0,Peak,1.202779891211058,1.4027798912110583
UGC06628,1.5530282551113939,5,UGC06628_rotmod.dat,0.6657413696818951,2.999999999998938,0.2196692789848396,5.0,Diffus,0.44697174488860614,0.6469717448886063
UGC06667,2.324376666954468,5,UGC06667_rotmod.dat,1.8193419068777807,0.5080375754341202,0.0002502528313437,9.0,Peak,0.3243766669544681,0.0
UGC06786,1.1164896082924174,5,UGC06786_rotmod.dat,1.2759573172653695,0.578085520123878,0.0026820726536391,39.0,Peak,0.8835103917075826,1.0835103917075828
UGC06787,1.9382978525076169,5,UGC06787_rotmod.dat,1.37270265232079,0.8910451216749282,0.0076593048228836,47.0,Peak,0.06170214749238312,0.2617021474923833
UGC06818,2.1966726040013542,5,UGC06818_rotmod.dat,2.9999999999999143,0.46130564962589,0.0105444197017594,7.0,Peak,0.19667260400135422,0.0033273959986459545
UGC06917,1.9434706473961303,5,UGC06917_rotmod.dat,1.3297044731044183,0.8605814557881815,0.0023383665538096,11.0,Peak,0.05652935260386971,0.2565293526038699
UGC06923,1.9234817737466956,5,UGC06923_rotmod.dat,2.999999999999725,0.3352030713662608,0.005925084426239,6.0,Peak,0.0765182262533044,0.2765182262533046
UGC06930,1.7724166125089016,5,UGC06930_rotmod.dat,0.8850824944329452,1.1544873723544111,0.0043114737194409,10.0,Peak,0.2275833874910984,0.4275833874910986
UGC06973,0.9940074242521713,5,,,,,,,1.0059925757478287,1.205992575747829
UGC06983,1.915572163001826,5,UGC06983_rotmod.dat,1.308544265899879,0.5416665333886953,0.0052623163260695,17.0,Peak,0.08442783699817391,0.2844278369981741
UGC07089,2.26436129877278,5,UGC07089_rotmod.dat,1.6741800443449737,1.5755523807020146,0.0015392868628337,12.0,Transition,0.2643612987727799,0.0
UGC07125,1.9376756426056274,5,UGC07125_rotmod.dat,1.2987257099093008,0.6966157903284671,0.0060010328350985,13.0,Peak,0.06232435739437259,0.26232435739437276
UGC07151,2.3042893705945513,5,UGC07151_rotmod.dat,1.1784179396969805,0.9224675851299976,0.0054583086643326,11.0,Peak,0.3042893705945513,0.0
UGC07232,2.4404656534973306,5,,,,,,,0.4404656534973306,0.0
UGC07261,1.5377526653641564,5,UGC07261_rotmod.dat,0.6307593688078547,3.0,0.0007500368797271,7.0,Diffus,0.46224733463584355,0.6622473346358437
UGC07323,2.094736445680523,5,UGC07323_rotmod.dat,2.5699504105917974,0.535013218729766,0.0012275752366907,10.0,Peak,0.09473644568052286,0.10526355431947731
UGC07399,1.8363979579523693,5,UGC07399_rotmod.dat,0.8335332717870549,1.932502278864512,0.0016880676996105,10.0,Transition,0.16360204204763074,0.3636020420476309
UGC07524,2.179487529164483,5,UGC07524_rotmod.dat,1.3874695057727695,0.7600354820830353,0.0020742477078955,31.0,Peak,0.17948752916448285,0.020512470835517327
UGC07559,2.4511344714140018,5,UGC07559_rotmod.dat,3.0,0.3344595851766966,0.002030570286652,7.0,Peak,0.45113447141400176,0.0
UGC07577,2.3123144543240812,5,UGC07577_rotmod.dat,2.999999999995317,2.999999999997163,0.0260033471213976,7.0,Diffus,0.3123144543240812,0.0
UGC07603,2.326464232088541,5,UGC07603_rotmod.dat,1.6155707029331912,0.6241353052679601,0.002248706831031,12.0,Peak,0.3264642320885409,0.0
